;;Subject;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;Avg;;;
Personalized model;0;0.72;0.53;0.48;0.51;0.54;0.48;0.58;0.36;0.46;0.40;0.39;0.59;0.44;0.51;0.46;0.46;0.45;0.36;0.63;0.29;0.42;0.47;0.42;0.53;0.41;0.48;0.48;;;
;1;0.52;0.46;0.58;0.39;0.33;0.33;0.36;0.33;0.42;0.41;0.39;0.73;0.44;0.49;0.44;0.29;0.51;0.28;0.41;0.27;0.45;0.43;0.46;0.46;0.44;0.37;0.42;;;
;2;0.51;0.54;0.88;0.53;0.32;0.43;0.40;0.35;0.65;0.39;0.37;0.52;0.47;0.48;0.42;0.39;0.51;0.29;0.55;0.22;0.62;0.44;0.46;0.65;0.42;0.42;0.47;;;
;3;0.48;0.55;0.53;0.55;0.40;0.34;0.34;0.34;0.57;0.54;0.44;0.51;0.54;0.55;0.51;0.44;0.38;0.50;0.49;0.25;0.77;0.42;0.63;0.46;0.41;0.50;0.48;;;
;4;0.59;0.39;0.43;0.39;0.61;0.48;0.36;0.36;0.44;0.42;0.52;0.45;0.44;0.43;0.39;0.38;0.43;0.39;0.68;0.49;0.60;0.43;0.43;0.56;0.45;0.44;0.46;;;
;5;0.48;0.37;0.43;0.50;0.37;0.77;0.54;0.47;0.63;0.41;0.43;0.44;0.37;0.48;0.57;0.47;0.43;0.63;0.50;0.39;0.45;0.67;0.44;0.52;0.59;0.44;0.49;;;
;6;0.41;0.59;0.47;0.44;0.39;0.50;0.68;0.39;0.48;0.41;0.51;0.53;0.47;0.42;0.50;0.30;0.52;0.49;0.70;0.30;0.74;0.44;0.61;0.69;0.42;0.47;0.50;;;
;7;0.50;0.48;0.42;0.51;0.47;0.38;0.50;0.61;0.29;0.53;0.47;0.52;0.49;0.41;0.35;0.44;0.51;0.42;0.43;0.32;0.50;0.46;0.57;0.46;0.40;0.54;0.46;;;
;8;0.58;0.48;0.65;0.49;0.39;0.45;0.35;0.39;0.72;0.51;0.47;0.58;0.40;0.47;0.48;0.45;0.47;0.32;0.53;0.27;0.58;0.44;0.52;0.45;0.46;0.48;0.48;;;
;9;0.31;0.47;0.41;0.46;0.31;0.52;0.36;0.58;0.53;0.58;0.46;0.44;0.52;0.40;0.52;0.49;0.45;0.29;0.38;0.31;0.39;0.55;0.53;0.47;0.54;0.47;0.45;;;
;10;0.40;0.52;0.52;0.39;0.36;0.55;0.41;0.48;0.45;0.52;0.62;0.46;0.44;0.41;0.50;0.46;0.40;0.53;0.51;0.28;0.47;0.49;0.57;0.51;0.43;0.42;0.47;;;
;11;0.42;0.51;0.51;0.42;0.38;0.37;0.43;0.36;0.36;0.38;0.48;0.74;0.47;0.46;0.46;0.39;0.46;0.28;0.53;0.26;0.42;0.48;0.52;0.47;0.36;0.40;0.44;;;
;12;0.36;0.46;0.47;0.38;0.30;0.42;0.33;0.40;0.44;0.54;0.49;0.46;0.58;0.41;0.43;0.41;0.44;0.33;0.42;0.24;0.51;0.64;0.46;0.47;0.36;0.40;0.43;;;
;13;0.44;0.44;0.49;0.60;0.47;0.60;0.48;0.35;0.57;0.53;0.52;0.42;0.52;0.63;0.52;0.47;0.48;0.50;0.36;0.42;0.57;0.44;0.48;0.42;0.57;0.63;0.50;;;
;14;0.42;0.51;0.59;0.50;0.40;0.48;0.53;0.60;0.63;0.53;0.62;0.34;0.55;0.46;0.55;0.54;0.44;0.48;0.42;0.26;0.43;0.63;0.59;0.53;0.54;0.53;0.50;;;
;15;0.51;0.43;0.39;0.43;0.48;0.46;0.42;0.54;0.45;0.41;0.54;0.40;0.51;0.55;0.44;0.57;0.57;0.50;0.36;0.31;0.39;0.41;0.41;0.39;0.45;0.56;0.46;;;
;16;0.46;0.39;0.49;0.52;0.49;0.43;0.48;0.39;0.40;0.52;0.48;0.57;0.47;0.51;0.44;0.52;0.48;0.33;0.37;0.31;0.38;0.49;0.48;0.43;0.56;0.45;0.46;;;
;17;0.48;0.31;0.33;0.45;0.36;0.54;0.54;0.55;0.41;0.38;0.41;0.46;0.29;0.55;0.55;0.55;0.51;0.60;0.45;0.47;0.54;0.41;0.38;0.40;0.53;0.52;0.46;;;
;18;0.52;0.54;0.64;0.48;0.44;0.54;0.31;0.41;0.59;0.41;0.44;0.49;0.46;0.49;0.42;0.41;0.47;0.36;0.64;0.29;0.51;0.61;0.61;0.50;0.37;0.39;0.48;;;
;19;0.34;0.52;0.21;0.58;0.29;0.43;0.47;0.54;0.46;0.57;0.35;0.34;0.38;0.59;0.53;0.54;0.44;0.53;0.34;0.73;0.51;0.46;0.52;0.27;0.47;0.46;0.46;;;
;20;0.50;0.40;0.62;0.52;0.38;0.65;0.41;0.40;0.57;0.47;0.46;0.57;0.41;0.43;0.43;0.44;0.44;0.38;0.44;0.30;0.69;0.56;0.52;0.68;0.54;0.47;0.49;;;
;21;0.34;0.46;0.48;0.39;0.37;0.57;0.50;0.51;0.53;0.45;0.54;0.58;0.45;0.50;0.49;0.35;0.48;0.45;0.53;0.28;0.44;0.86;0.49;0.45;0.49;0.38;0.48;;;
;22;0.38;0.47;0.65;0.45;0.30;0.41;0.37;0.35;0.63;0.44;0.45;0.48;0.55;0.37;0.40;0.35;0.47;0.33;0.46;0.25;0.40;0.49;0.76;0.47;0.37;0.36;0.44;;;
;23;0.42;0.51;0.58;0.41;0.29;0.54;0.55;0.40;0.53;0.40;0.44;0.44;0.43;0.37;0.43;0.32;0.46;0.40;0.51;0.34;0.61;0.42;0.46;0.80;0.35;0.44;0.46;;;
;24;0.57;0.43;0.40;0.52;0.37;0.46;0.42;0.40;0.67;0.46;0.44;0.71;0.52;0.43;0.53;0.50;0.54;0.52;0.41;0.32;0.55;0.44;0.56;0.41;0.55;0.55;0.49;;;
;25;0.62;0.40;0.34;0.53;0.39;0.45;0.51;0.40;0.43;0.53;0.45;0.55;0.49;0.41;0.37;0.51;0.30;0.54;0.46;0.33;0.64;0.47;0.48;0.33;0.41;0.52;0.46;;;
;Avg;0.47;0.47;0.50;0.47;0.39;0.48;0.45;0.43;0.51;0.47;0.47;0.51;0.47;0.47;0.47;0.44;0.46;0.42;0.48;0.33;0.52;0.50;0.51;0.49;0.46;0.46;0.47;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.65;;16.90
